ada
adanya
adalah
adapun
agak
agaknya
agar
akan
akankah
akhirnya
aku
akulah
amat
amatlah
anda
andalah
antar
diantaranya
antara
antaranya
diantara
apa
apaan
mengapa
apabila
apakah
apalagi
apatah
atau
ataukah
ataupun
bagai
bagaikan
sebagai
sebagainya
bagaimana
bagaimanapun
sebagaimana
bagaimanakah
bagi
bahkan
bahwa
bahwasanya
sebaliknya
banyak
sebanyak
beberapa
seberapa
begini
beginian
beginikah
beginilah
sebegini
begitu
begitukah
begitulah
begitupun
sebegitu
belum
belumlah
sebelum
sebelumnya
sebenarnya
berapa
berapakah
berapalah
cuma
percuma
dahulu
dalam
dan
dapat
dari
daripada
dekat
demi
demikian
demikianlah
sedemikian
dengan
depan
di
dia
dialah
dini
diri
dirinya
terdiri
dong
dulu
enggak
enggaknya
entah
entahlah
terhadap
terhadapnya
hal
hampir
hanya
hanyalah
harus
haruslah
harusnya
seharusnya
hendak
hendaklah
hendaknya
hingga
sehingga
ia
ialah
ibarat
ingin
inginkah
inginkan
ini
inikah
inilah
itu
itukah
itulah
jangan
jangankan
janganlah
jika
jikalau
juga
justru
kala
kalau
kalaulah
kalaupun
berkali-kali
sekali-kali
kalian
kami
kamilah
kamu
kamulah
kan
kapan
kapankah
kapanpun
dikarenakan
karena
karenanya
ke
kecil
kemudian
kenapa
kepada
kepadanya
ketika
seketika
khususnya
kini
kinilah
kiranya
sekiranya
kita
kitalah
kok
lagi
lagian
berada
keadaan
akhir
akhiri
berakhir
berakhirlah
berakhirnya
diakhiri
diakhirinya
mengakhiri
terakhir
artinya
berarti
asal
asalkan
atas
awal
awalnya
berawal
berbagai
bagian
sebagian
baik
sebaik
sebaik-baiknya
sebaiknya
bakal
bakalan
balik
terbanyak
bapak
baru
bawah
belakang
belakangan
benar
benarkah
benarlah
beri
berikan
diberi
diberikan
diberikannya
memberi
memberikan
besar
sebesar
betul
kebetulan
dibuat
dibuatnya
diperbuat
diperbuatnya
membuat
memperbuat
bulan
bung
cara
caranya
secara
cukup
cukupkah
cukuplah
secukupnya
terdahulu
didapat
mendapat
mendapatkan
terdapat
berdatangan
datang
didatangkan
mendatang
mendatangi
mendatangkan
dua
kedua
keduanya
empat
seenaknya
digunakan
dipergunakan
guna
gunakan
mempergunakan
menggunakan
hari
berkehendak
menghendaki
diibaratkan
diibaratkannya
ibaratkan
ibaratnya
mengibaratkan
mengibaratkannya
ibu
berikut
berikutnya
ikut
diingat
diingatkan
ingat-ingat
mengingat
mengingatkan
seingat
teringat
teringat-ingat
berkeinginan
diinginkan
keinginan
menginginkan
jadi
jadilah
jadinya
menjadi
terjadi
terjadilah
terjadinya
jauh
sejauh
dijawab
jawab
jawaban
jawabnya
menjawab
dijelaskan
dijelaskannya
jelas
jelaskan
jelaslah
jelasnya
menjelaskan
berjumlah
jumlah
jumlahnya
sejumlah
sekadar
sekadarnya
kasus
berkata
dikatakannya
kata
katakan
katakanlah
katanya
mengatakan
mengatakannya
sekecil
keluar
kembali
berkenaan
mengenai
bekerja
dikerjakan
mengerjakan
dikira
diperkirakan
kira
kira-kira
memperkirakan
mengira
terkira
kurang
sekurang-kurangnya
sekurangnya
berlainan
dilakukan
melakukan
berlalu
dilalui
keterlaluan
kelamaan
berlangsung
lanjut
lanjutnya
selanjutnya
berlebihan
lewat
dilihat
diperlihatkan
kelihatan
kelihatannya
melihat
melihatnya
memperlihatkan
terlihat
kelima
lima
luar
bermaksud
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
semampu
semampunya
lah
lain
lainnya
melainkan
selaku
lalu
melalui
terlalu
lama
lamanya
selama
selama-lamanya
selamanya
lebih
terlebih
bermacam
bermacam-macam
macam
semacam
maka
makanya
makin
malah
mampukah
mana
manakala
manalagi
masih
masihkah
semasih
masing
masing-masing
mau
maupun
semaunya
memang
mereka
merekalah
meski
meskipun
semula
mungkin
mungkinkah
nah
namun
nanti
nantinya
nyaris
oleh
olehnya
seorang
seseorang
pada
padanya
padahal
paling
sepanjang
pantas
sepantasnya
sepantasnyalah
para
per
pernah
pula
pun
merupakan
rupanya
serupa
saat
saatnya
sesaat
saja
sajalah
saling
bersama
bersama-sama
sama
sama-sama
sesama
sambil
sampai
sana
sangat
sangatlah
saya
sayalah
se
sebab
sebabnya
sebuah
tersebut
tersebutlah
sedang
sedangkan
sedikit
sedikitnya
segala
segalanya
segera
sesegera
sejak
sejenak
sekali
sekalian
sekalipun
sesekali
sekaligus
sekarang
sekarang
sekitar
sekitarnya
sela
